classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
information,07/05/2010,07/01/2015,2010.0552,Italy,food,crustaceans and products thereof,"too high content of sulphite (195 mg/kg - ppm) in chilled cooked shrimps from Spain, with raw material from Cuba",fa,sulphite,195 mg/kg - ppm,chilled cooked shrimps,"Spain, with raw material from Cuba"
border rejection,07/05/2010,07/05/2010,2010.AVF,Greece,food,non-alcoholic beverages,unauthorised use of colour E 160b - annato/bixin/norbixin in mango nectar from Egypt,fa,colour E 160b - annato/bixin/norbixin,,mango nectar,Egypt
border rejection,29/04/2010,07/01/2015,2010.ATV,Italy,food,non-alcoholic beverages,too high content of sulphite (614 mg/l) in mango squash from Pakistan,fa,sulphite,614 mg/l,mango squash,Pakistan
information,29/04/2010,29/04/2010,2010.0529,Czech Republic,food,fruits and vegetables,undeclared sulphite (41.2 mg/kg - ppm) in black raisins from India,fa,sulphite,41.2 mg/kg - ppm,black raisins,India
alert,28/04/2010,19/05/2010,2010.0522,Czech Republic,food,fruits and vegetables,"undeclared sulphite (60.2 mg/kg - ppm) in bell peppers stuffed with cabbage from Hungary, via the Slovak Republic",fa,sulphite,60.2 mg/kg - ppm,bell peppers stuffed with cabbage,"Hungary, via the Slovak Republic"
information,22/04/2010,23/06/2010,2010.0497,Denmark,food,meat and meat products (other than poultry),unauthorised use of E 450(i) - disodium diphosphate in minced poultry and beef meat for kebab from Germany,fa,E 450(i) - disodium diphosphate,,minced poultry and beef meat for kebab,Germany
alert,22/04/2010,17/05/2010,2010.0493,Italy,food,meat and meat products (other than poultry),sulphite (314 mg/kg - ppm) unauthorised and undeclared in sausages from Bulgaria,fa,sulphite,314 mg/kg - ppm,sausage,Bulgaria
alert,19/04/2010,26/05/2010,2010.0481,Finland,food,confectionery,"suffocation risk as a result of the consumption of and E 407 - carrageenan unauthorised in lychee and mango mini cup jelly from Vietnam from China, via Sweden",fa,E 407 - carrageenan,,lychee and mango mini cup jelly,"Vietnam from China, via Sweden"
border rejection,13/04/2010,29/05/2012,2010.ARH,Italy,food,confectionery,too high content of colour E 110 - Sunset Yellow FCF (139.8 mg/kg - ppm) and of colour E 129 - Allura Red AC (366.6 mg/kg - ppm) in lollipops from the United States,fa,colour E 110 - Sunset Yellow FCF,139.8 mg/kg - ppm,lollipop,the United States
information,13/04/2010,20/04/2010,2010.0464,Lithuania,food,"soups, broths, sauces and condiments",sweetener E 952 - cyclamate unauthorised in mayonnaise from the Russian Federation,fa,sweetener E 952 - cyclamate,,mayonnaise,the Russian Federation
border rejection,12/04/2010,07/01/2015,2010.ARD,Spain,food,fruits and vegetables,too high content of sulphite (75 mg/kg - ppm) in dehydrated diced coconut from Thailand,fa,sulphite,75 mg/kg - ppm,dehydrated diced coconut,Thailand
information,12/04/2010,15/04/2010,2010.0460,Italy,food,fish and fish products,E 640 - glycine unauthorised in frozen soles (Solea solea) from the Netherlands,fa,E 640 - glycine,,frozen soles (solea solea),the Netherlands
information,09/04/2010,07/01/2015,2010.0452,Italy,food,crustaceans and products thereof,too high content of sulphite (185 mg/kg - ppm) in cooked shrimps (Penaeus vannamei) from Ecuador,fa,sulphite,185 mg/kg - ppm,cooked shrimps (penaeus vannamei),Ecuador
information,08/04/2010,08/04/2010,2010.0447,Finland,food,"dietetic foods, food supplements, fortified foods","unauthorised irradiation (glow ratio: 1.33 %) of and unauthorised use of colour E 127 - erythrosine in food supplement from the United States, via the United Kingdom",fa,irradiation,glow ratio: 1.33 %,food supplement,"the United States, via the United Kingdom"
information,02/04/2010,24/06/2010,2010.0420,Switzerland,food,milk and milk products,E 231 - orthophenylphenol (0.23; 0.11; 0.23; 0.057; 0.15; 0.035 mg/kg - ppm) unauthorised on cheese from France,fa,E 231 - orthophenylphenol,0.23; 0.11; 0.23; 0.057; 0.15; 0.035 mg/kg - ppm,e 231 - orthophenylphenol (0.23; 0.11; 0.23; 0.057; 0.15; 0.035 mg/kg - ppm) unauthorised on cheese,France
border rejection,31/03/2010,07/01/2015,2010.APM,Greece,food,fruits and vegetables,too high content of sulphite (2622.5 mg/kg - ppm) in dried apricots from Turkey,fa,sulphite,2622.5 mg/kg - ppm,dried apricot,Turkey
information,30/03/2010,31/03/2010,2010.0405,Italy,food,"dietetic foods, food supplements, fortified foods",unauthorised use of colour E 127 - erythrosine in food supplements from the United States,fa,colour E 127 - erythrosine,,food supplement,the United States
information,30/03/2010,30/03/2010,2010.0402,Czech Republic,food,fruits and vegetables,undeclared sulphite (180 mg/kg - ppm) in dried raisins from India,fa,sulphite,180 mg/kg - ppm,dried raisins,India
border rejection,29/03/2010,07/01/2015,2010.AOV,Finland,food,fruits and vegetables,too high content of sulphite (1250 mg/kg - ppm) in pickled garlic from Vietnam,fa,sulphite,1250 mg/kg - ppm,pickled garlic,Vietnam
alert,25/03/2010,23/03/2015,2010.0384,Finland,food,confectionery,"suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised carrageenan E 407 from Thailand, via Sweden",fa,jelly mini-cups containing carrageenan E 407,,suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised carrageenan e 407,"Thailand, via Sweden"
alert,25/03/2010,07/06/2010,2010.0386,Finland,food,confectionery,"suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised agar E 406 from Taiwan, via Sweden",fa,jelly mini-cups containing agar E 406,,suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised agar e 406,"Taiwan, via Sweden"
alert,25/03/2010,26/04/2010,2010.0383,Finland,food,confectionery,"suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised carrageenan E 407 from Malaysia, via the Netherlands",fa,jelly mini-cups containing carrageenan E 407,,suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised carrageenan e 407,"Malaysia, via the Netherlands"
information,23/03/2010,25/07/2011,2010.0370,Belgium,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B12, high content of caffeine (> 320 mg/l) in and insufficient labelling of energy drink from the United States, via the Netherlands",fa,"vitamin B12, caffeine",> 320 mg/l,and insufficient labelling of energy drink,"the United States, via the Netherlands"
border rejection,22/03/2010,08/11/2010,2010.ANP,Italy,food,non-alcoholic beverages,too high content of E 200 - sorbic acid (485 mg/l) in soft drink from China,fa,E 200 - sorbic acid,485 mg/l,carbonated soft drink,China
border rejection,22/03/2010,23/03/2010,2010.ANO,United Kingdom,food,fish and fish products,too high content of E 621 - monosodium glutamate (17.4 ; 22.6 g/kg) in pollack fish snacks from Taiwan,fa,E 621 - monosodium glutamate,17.4 ; 22.6 g/kg,pollack fish snacks,Taiwan
information,18/03/2010,22/04/2010,2010.0350,Slovakia,food,meat and meat products (other than poultry),"E 210 - benzoic acid (423.0; 404 mg/kg - ppm) and E 200 - sorbic acid (305, 310 mg/kg - ppm) unauthorised in minced meat product from Poland",fa,E 210 - benzoic acid,423.0; 404 mg/kg - ppm,minced meat product,Poland
border rejection,17/03/2010,17/03/2010,2010.AMJ,Ireland,food,confectionery,E 425 - konjac unauthorised in jelly mini cups from China,fa,E 425 - konjac,,jelly mini cups,China
information,15/03/2010,15/03/2010,2010.0329,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised use of colour E 127 - erythrosine in food supplement for sportsmen from the United States, via the Slovak Republic",fa,colour E 127 - erythrosine,,food supplement,"the United States, via the Slovak Republic"
information,12/03/2010,25/05/2010,2010.0319,Finland,food,"dietetic foods, food supplements, fortified foods","unauthorised use of colour E 127 - erythrosine in food supplement for sportsmen from Germany, via the Netherlands",fa,colour E 127 - erythrosine,,food supplement,"Germany, via the Netherlands"
information,11/03/2010,22/03/2010,2010.0314,Denmark,food,fish and fish products,E 250 - sodium nitrite unauthorised in smoked salmon from Denmark,fa,E 250 - sodium nitrite,,smoked salmon,Denmark
border rejection,10/03/2010,20/04/2012,2010.AKI,Greece,food,non-alcoholic beverages,unauthorised use of colour E 122 - azorubine (4.9 mg/l) and of colour E 124 - Ponceau 4R / cochineal red A (2.8 mg/l) in pomegranate and  raspberry juice from Georgia,fa,colour E 122 - azorubine,4.9 mg/l,pomegranate and raspberry juice,Georgia
information,10/03/2010,15/03/2010,2010.0305,Denmark,food,fish and fish products,E 250 - sodium nitrite unauthorised in sliced smoked salmon from Denmark,fa,E 250 - sodium nitrite,,sliced smoked salmon,Denmark
border rejection,09/03/2010,07/01/2015,2010.AKA,Italy,food,fruits and vegetables,too high content of sulphite (336 mg/kg - ppm) in dried mushrooms (Boletus spp.) from Bosnia and Herzegovina,fa,sulphite,336 mg/kg - ppm,dried mushroom (boletus spp.),Bosnia and Herzegovina
information,09/03/2010,02/04/2012,2010.0295,Slovenia,food,alcoholic beverages,too high content of E 210 - benzoic acid (410 mg/l) and of E 200 - sorbic acid (280 mg/l) in frozen liquor from the United States,fa,E 210 - benzoic acid,410 mg/l,frozen liquor,the United States
information,09/03/2010,30/03/2012,2010.0299,Slovenia,food,alcoholic beverages,too high content of E 210 - benzoic acid and of E 200 - sorbic acid (Sa+Ba between 290 and 690 mg/l) in frozen liquor from the United States,fa,E 210 - benzoic acid,Sa+Ba between 290 and 690 mg/l,frozen liquor,the United States
information,09/03/2010,30/03/2012,2010.0298,Slovenia,food,alcoholic beverages,too high content of E 210 - benzoic acid and of E 200 - sorbic acid (Sa+Ba between 330 and 730 mg/l) in frozen liquor from the United States,fa,E 210 - benzoic acid,Sa+Ba between 330 and 730 mg/l,frozen liquor,the United States
information,04/03/2010,07/01/2015,2010.0268,Slovenia,food,confectionery,too high content of sulphite (120 mg/kg - ppm) in apricot jam from Bosnia and Herzegovina,fa,sulphite,120 mg/kg - ppm,apricot jam,Bosnia and Herzegovina
border rejection,02/03/2010,16/03/2010,2010.AJB,Cyprus,food,"cocoa and cocoa preparations, coffee and tea",unauthorised use of colour E 123 - amaranth in chocolate jewels from Australia,fa,colour E 123 - amaranth,,chocolate jewels,Australia
border rejection,02/03/2010,16/03/2010,2010.AIZ,Cyprus,food,confectionery,unauthorised use of colour E 123 - amaranth in sugar sprinkles from Australia,fa,colour E 123 - amaranth,,sugar sprinkles,Australia
alert,23/02/2010,07/01/2015,2010.0226,Slovakia,food,fruits and vegetables,too high content of sulphite (180 mg/kg - ppm) and undeclared sulphite in sour white cabbage from the Czech Republic,fa,sulphite,180 mg/kg - ppm,sour white cabbage,the Czech Republic
information,16/02/2010,07/01/2015,2010.0183,Belgium,food,fruits and vegetables,too high content of sulphite (845.50; 912 mg/kg - ppm) in dried apple rings from China,fa,sulphite,845.50; 912 mg/kg - ppm,dried apple rings,China
information,10/02/2010,07/01/2015,2010.0159,Italy,food,crustaceans and products thereof,too high content of sulphite (314 mg/kg - ppm) in whiteleg shrimp (Penaeus vannamei) from Spain,fa,sulphite,314 mg/kg - ppm,whiteleg shrimp (penaeus vannamei),Spain
information,09/02/2010,07/01/2015,2010.0151,Greece,food,fruits and vegetables,too high content of sulphite (170.1 mg/kg - ppm) in red cocktail cherries from Italy,fa,sulphite,170.1 mg/kg - ppm,red cocktail cherries,Italy
border rejection,05/02/2010,07/01/2015,2010.AFT,Greece,food,fruits and vegetables,too high content of sulphite (2573 mg/kg - ppm) in whole dried apricots from Turkey,fa,sulphite,2573 mg/kg - ppm,whole dried apricot,Turkey
border rejection,05/02/2010,05/02/2010,2010.AFP,Spain,food,cereals and bakery products,E 210 - benzoic acid (62 mg/kg - ppm) unauthorised in brownies from the United States,fa,E 210 - benzoic acid,62 mg/kg - ppm,brownies,the United States
information,02/02/2010,29/03/2010,2010.0122,Italy,food,fish and fish products,"E 452 - polyphosphates and E 339 - sodium phosphates unauthorised in frozen whole sole (Solea solea) from the Netherlands, via Belgium",fa,E 452 - polyphosphates,,frozen whole sole (solea solea),"the Netherlands, via Belgium"
information,29/01/2010,29/01/2010,2010.0111,Italy,food,fish and fish products,citrate (1187 mg/kg - ppm) unauthorised in fresh sole (Solea vulgaris) from the Netherlands,fa,citrate,1187 mg/kg - ppm,fresh sole (solea vulgaris),the Netherlands
information,27/01/2010,03/05/2010,2010.0100,Cyprus,food,non-alcoholic beverages,E 385 - calcium disodium ethylene diamine tetra acetate (CDEDTA) unauthorised in carbonated beverage from the United Arab Emirates,fa,E 385 - calcium disodium ethylene diamine tetra acetate,CDEDTA,carbonated soft drink,the United Arab Emirates
information,21/01/2010,06/02/2012,2010.0061,United Kingdom,food,"nuts, nut products and seeds",unauthorised use of colour E 127 - erythrosine (12 mg/kg - ppm) in sugar coated fennel seeds from India,fa,colour E 127 - erythrosine,12 mg/kg - ppm,sugar coated fennel seed,India
information,21/01/2010,22/02/2010,2010.0066,Slovakia,food,fish and fish products,"too high content of colour E 110 - Sunset Yellow FCF and of colour E 151 - Brilliant Black BN / Black PN (sum = 409.9 mg/kg - ppm) in lumpfish caviar from Denmark, via the Czech Republic",fa,colour E 110 - Sunset Yellow FCF,sum = 409.9 mg/kg - ppm,lumpfish caviar,"Denmark, via the Czech Republic"
information,19/01/2010,22/04/2015,2010.0055,Latvia,food,"soups, broths, sauces and condiments",unauthorised food additive E 386 - disodium ethylene diamine tetra acetate (DEDTA) in mustard sauce from Ukraine,fa,food additive E 386 - disodium ethylene diamine tetra acetate,DEDTA,mustard sauce,Ukraine
information,19/01/2010,22/04/2015,2010.0054,Latvia,food,"soups, broths, sauces and condiments",unauthorised food additive E 386 - disodium ethylene diamine tetra acetate (DEDTA) in mayonnaise from Ukraine,fa,food additive E 386 - disodium ethylene diamine tetra acetate,DEDTA,mayonnaise,Ukraine
information,19/01/2010,22/04/2015,2010.0053,Latvia,food,"soups, broths, sauces and condiments",unauthorised food additive E 386 - disodium ethylene diamine tetra acetate (DEDTA) in mayonnaise from Ukraine,fa,food additive E 386 - disodium ethylene diamine tetra acetate,DEDTA,mayonnaise,Ukraine
border rejection,18/01/2010,25/01/2010,2010.ACK,United Kingdom,food,non-alcoholic beverages,E 385 - calcium disodium ethylene diamine tetra acetate (CDEDTA) unauthorised and unidentified colour (red) in orange drink from the United Arab Emirates,fa,E 385 - calcium disodium ethylene diamine tetra acetate,CDEDTA,orange drink,the United Arab Emirates
information,15/01/2010,07/01/2015,2010.0045,Slovakia,food,"nuts, nut products and seeds","too high content of sulphite (2194 mg/kg - ppm) in dried pitted apricots with raw material from Turkey, via the Czech Republic",fa,sulphite,2194 mg/kg - ppm,dried pitted apricot with raw material,"Turkey, via the Czech Republic"
information,13/01/2010,26/01/2012,2010.0037,Slovakia,food,"nuts, nut products and seeds","too high content of E 200 - sorbic acid (1720 mg/kg - ppm) in dried pitted prunes manufactured in the Slovak Republic, with raw material from Argentina",fa,E 200 - sorbic acid,1720 mg/kg - ppm,dried pitted prunes,Argentina
information,08/01/2010,07/01/2015,2010.0024,Czech Republic,food,fruits and vegetables,too high content of sulphite (749 mg/kg - ppm) in candied pears with raw material from China,fa,sulphite,749 mg/kg - ppm,candied pears with raw material,China
information,05/01/2010,07/01/2011,2010.0008,Latvia,food,herbs and spices,undeclared E 210 - benzoic acid (147 mg/kg - ppm) in ayurvedic plant preparation from the United States,fa,E 210 - benzoic acid,147 mg/kg - ppm,ayurvedic plant preparation,the United States
border rejection,05/01/2010,11/01/2010,2010.AAX,United Kingdom,food,fish and fish products,too high content of E 621 - monosodium glutamate (17.2 g/kg) in frozen salmon-flavoured pollack fish snack from Taiwan,fa,E 621 - monosodium glutamate,17.2 g/kg,frozen salmon-flavoured pollack fish snack,Taiwan
